ZIP,CITY,STABBR,INSTNM,SCH_DEG,HIGHDEG,CONTROL,REGION,LOCALE,ADM_RATE,UGDS,TUITFTE,AGE_ENTRY,SECTOR
68106,Omaha,NE,College of Saint Mary,3,4,2,4,11,0.5285,718,14557,25.17579909,Private
68434-1556,Seward,NE,Concordia University-Nebraska,3,4,2,4,32,0.7661,1232,10123,20.39784946,Private
68178,Omaha,NE,Creighton University,3,4,2,4,11,0.7267,3977,22571,20.94067191,Private
68333,Crete,NE,Doane University-Arts & Sciences,3,3,2,4,32,0.7935,1064,12179,24.40765766,Private
68108-3629,Omaha,NE,Grace University,3,4,2,4,11,0.4462,387,7503,22.51440329,Private
68901,Hastings,NE,Hastings College,3,4,2,4,32,0.6965,1135,9191,20.11501597,Private
68510-2226,Lincoln,NE,Joseph's College Cosmetology,1,1,3,4,11,NULL,229,10457,23.29393939,Private
68025,Fremont,NE,La'James International College,1,1,3,4,32,NULL,24,9109,24.48717949,Private
68071-0270,Winnebago,NE,Little Priest Tribal College,2,2,2,4,42,NULL,116,3919,26.25252525,Private
68111-1610,Omaha,NE,Metropolitan Community College Area,2,2,1,4,11,NULL,7275,1701,26.4755194,Public
68025,Fremont,NE,Midland University,3,4,2,4,32,0.6018,1236,12341,20.65717675,Private
69101,North Platte,NE,Mid-Plains Community College,2,2,1,4,33,NULL,1278,2281,24.27984718,Public
68506,Lincoln,NE,Myotherapy Institute,2,2,3,4,11,NULL,15,2980,26.67307692,Private
68046,Papillion,NE,Nebraska Christian College,3,3,2,4,41,NULL,134,9201,21.53846154,Private
68039-0428,Macy,NE,Nebraska Indian Community College,2,2,1,4,42,NULL,115,5214,26.5,Public
68114-2852,Omaha,NE,Nebraska Methodist College of Nursing & Allied Health,3,4,2,4,11,0.8261,742,13433,25.86317907,Private
68504-2794,Lincoln,NE,Nebraska Wesleyan University,3,4,2,4,11,0.7814,1803,12272,23.37901499,Private
68702-0469,Norfolk,NE,Northeast Community College,2,2,1,4,33,NULL,2726,2044,23.00098619,Public
68421-0010,Peru,NE,Peru State College,3,4,1,4,42,NULL,1537,3357,24.57323498,Public
69361,Scottsbluff,NE,Regional West Medical Center School of Radiologic Technology,NULL,1,2,4,33,NULL,7,1685,NULL,Private
68510-2449,Lincoln,NE,Southeast Community College Area,2,2,1,4,11,NULL,6979,2308,24.55414365,Public
68164,Omaha,NE,The Creative Center,2,3,3,4,11,0.7667,78,29353,19.83636364,Private
68506,Lincoln,NE,Union College,3,4,2,4,11,0.5214,747,15410,21.07714286,Private
68112-1810,Omaha,NE,Universal College of Healing Arts,1,2,3,4,11,NULL,14,8166,33.73333333,Private
68849-1212,Kearney,NE,University of Nebraska at Kearney,3,4,1,4,32,0.8411,5081,4655,21.85707742,Public
68182-0225,Omaha,NE,University of Nebraska at Omaha,3,4,1,4,11,0.785,11989,6140,22.58237167,Public
68198-7815,Omaha,NE,University of Nebraska Medical Center,3,4,1,4,11,NULL,828,13636,25.6986532,Public
68588,Lincoln,NE,University of Nebraska-Lincoln,3,4,1,4,11,0.6989,19979,8944,20.34379066,Public
68137,Omaha,NE,Vatterott College-Spring Valley,1,2,3,4,11,NULL,145,10050,27.24531516,Private
68787,Wayne,NE,Wayne State College,3,4,1,4,32,NULL,2869,3847,20.88188976,Public
69361-1899,Scottsbluff,NE,Western Nebraska Community College,2,2,1,4,33,NULL,1363,1749,24.53437877,Public
68127-3622,Omaha,NE,Xenon International Academy-Omaha,1,1,3,4,21,NULL,230,8709,23.183391,Private
68467-2699,York,NE,York College,3,3,2,4,33,0.4076,402,10520,21.13833992,Private
03257-7835,New London,NH,Colby-Sawyer College,3,3,2,1,42,0.9056,1351,10446,19.62479062,Private
3051,Hudson,NH,Continental Academie of Hair Design-Hudson,1,1,3,1,22,NULL,72,10986,22.32926829,Private
03063-1300,Nashua,NH,Daniel Webster College,3,4,3,1,13,0.6289,644,15395,22.77440347,Private
03755-3529,Hanover,NH,Dartmouth College,3,4,2,1,33,0.115,4184,29358,20.14339623,Private
3246,Laconia,NH,Empire Beauty School-Laconia,1,1,3,1,32,NULL,83,11233,24.51186441,Private
3878,Somersworth,NH,Empire Beauty School-Somersworth,1,1,3,1,23,NULL,101,8770,24.43162393,Private
03461-0060,Rindge,NH,Franklin Pierce University,3,4,2,1,41,0.843,1731,15535,22.12789527,Private
03301-3471,Concord,NH,Granite State College,3,4,1,1,31,NULL,1800,5300,30.78718861,Public
03801-2879,Portsmouth,NH,Great Bay Community College,2,2,1,1,23,NULL,1857,8053,25.16354467,Public
3431,Keene,NH,Keene Beauty Academy,1,1,3,1,32,NULL,51,9004,24.05479452,Private
03435-1506,Keene,NH,Keene State College,3,4,1,1,32,0.7859,4662,11433,19.9254818,Public
03102-5263,Manchester,NH,Laird Institute of Spa Therapy,1,1,3,1,12,NULL,58,8393,30.85714286,Private
3246,Laconia,NH,Lakes Region Community College,2,2,1,1,32,NULL,1049,7244,25.76244344,Public
03102-8518,Manchester,NH,Manchester Community College,2,2,1,1,12,NULL,2938,6779,25.27578475,Public
3110,Bedford,NH,Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,1,1,3,1,12,NULL,161,16158,23.17801047,Private
03103-9969,Manchester,NH,Mount Washington College,2,3,3,1,12,NULL,1504,14378,29.63964844,Private
03063-1026,Nashua,NH,Nashua Community College,2,2,1,1,13,NULL,1951,7496,24.27354936,Public
3242,Henniker,NH,New England College,3,4,2,1,42,0.9573,1700,9461,29.64634146,Private
3784,West Lebanon,NH,New England School of Hair Design,1,1,3,1,33,NULL,41,12224,25.16666667,Private
3051,Hudson,NH,New Hampshire Institute for Therapeutic Arts,1,1,3,1,22,NULL,37,13160,31.54166667,Private
03104-4858,Manchester,NH,New Hampshire Institute of Art,3,4,2,1,12,NULL,442,19438,20.26086957,Private
03301-7412,Concord,NH,NHTI-Concord's Community College,2,2,1,1,31,NULL,3822,7819,23.62795549,Public
03278-4012,Warner,NH,Northeast Catholic College,NULL,3,2,1,42,1,61,11993,20.29166667,Private
03801-4084,Portsmouth,NH,Paul Mitchell the School-Portsmouth,1,1,3,1,23,NULL,49,8881,22.32835821,Private
03264-1595,Plymouth,NH,Plymouth State University,3,4,1,1,33,0.752,3644,11024,20.38596491,Public
03743-9707,Claremont,NH,River Valley Community College,1,2,1,1,41,NULL,880,7943,28.64067278,Public
3060,Nashua,NH,Rivier University,3,4,2,1,13,0.6256,1433,12987,24.36834734,Private
03102-1310,Manchester,NH,Saint Anselm College,3,3,2,1,22,0.7609,1950,16856,19.83621684,Private
03106-1045,Manchester,NH,Southern New Hampshire University,3,4,2,1,12,0.8421,28035,10367,32.0057778,Private
3060,Nashua,NH,St Joseph School of Nursing,2,2,2,1,13,0.3333,135,9529,30.87969925,Private
3054,Merrimack,NH,Thomas More College of Liberal Arts,3,3,2,1,22,0.76,93,9399,20.42857143,Private
03824-3547,Durham,NH,University of New Hampshire-Main Campus,3,4,1,1,23,0.8002,12591,12491,19.99414894,Public
03766-1358,Lebanon,NH,Upper Valley Educators Institute,1,0,2,1,33,NULL,NULL,16007,34.45454546,Private
3570,Berlin,NH,White Mountains Community College,2,2,1,1,33,NULL,560,7597,25.3968254,Public
07601-6637,Hackensack,NJ,Adult and Continuing Education-BCTS,1,1,1,2,21,NULL,90,7852,31.76595745,Public
8854,Piscataway,NJ,American Institute of Medical Sciences & Education,1,1,3,2,21,NULL,330,8358,28.02955665,Private
7950,Morris Plains,NJ,Artistic Academy of Hair Design,1,1,3,2,21,NULL,156,12916,23.88829787,Private
08012-1043,Turnersville,NJ,ASI Career Institute,1,1,3,2,21,NULL,109,7949,30.04587156,Private
8234,Egg Harbor Township,NJ,Atlantic Beauty & Spa Academy LLC,1,1,3,2,22,NULL,131,11967,26.20392157,Private
08330-2699,Mays Landing,NJ,Atlantic Cape Community College,2,2,1,2,41,NULL,6359,2651,24.35111111,Public
8701,Lakewood,NJ,Bais Medrash Toras Chesed,3,3,2,2,13,0.4848,111,4776,21,Private
07652-1595,Paramus,NJ,Bergen Community College,2,2,1,2,21,NULL,14530,4843,22.97232898,Public
7424,Woodland Park,NJ,Berkeley College-Woodland Park,3,3,3,2,21,NULL,3622,16647,26.64711381,Private
07018-1703,East Orange,NJ,Best Care Training Institute,1,1,3,2,21,NULL,54,3621,32.73214286,Private
08701-2754,Lakewood,NJ,Beth Medrash Govoha,3,4,2,2,13,NULL,2703,2564,23.69349112,Private
7003,Bloomfield,NJ,Bloomfield College,3,4,2,2,21,0.634,1933,18013,22.08906883,Private
07054-3897,Parsippany,NJ,Branford Hall Career Institute-Parsippany,1,1,3,2,21,NULL,119,12513,28.66046888,Private
07738-1597,Lincroft,NJ,Brookdale Community College,2,2,1,2,41,NULL,12077,2814,23.49303504,Public
07006-6195,Caldwell,NJ,Caldwell University,3,4,2,2,21,0.6393,1596,16560,22.23271277,Private
8012,Blackwood,NJ,Camden County College,2,2,1,2,21,NULL,11034,2931,24.80770962,Public
8723,Brick,NJ,Capri Institute of Hair Design-Brick,1,1,3,2,21,NULL,167,11230,27.39572193,Private
7011,Clifton,NJ,Capri Institute of Hair Design-Clifton,1,1,3,2,21,NULL,241,10110,26.09090909,Private
7033,Kenilworth,NJ,Capri Institute of Hair Design-Kenilworth,1,1,3,2,21,NULL,172,11320,27.74881517,Private
7652,Paramus,NJ,Capri Institute of Hair Design-Paramus,1,1,3,2,21,NULL,164,6645,24.99253731,Private
7840,Hackettstown,NJ,Centenary College,3,4,2,2,21,0.8191,1612,15555,23.37771346,Private
07080-2408,South Plainfield,NJ,Central Career Institute LLC,1,1,3,2,21,NULL,160,12979,31.59782609,Private
07058-9589,Pine Brook,NJ,Christine Valmy International School of Esthetics & Cosmetology,1,1,3,2,21,NULL,115,9847,30.39393939,Private
07960-6989,Morristown,NJ,College of Saint Elizabeth,3,4,2,2,21,0.5759,862,18832,24.03981265,Private
8103,Camden,NJ,Cooper Health System Center for Allied Health Education,1,1,2,2,13,NULL,40,5567,29.14814815,Private
07869-2086,Randolph,NJ,County College of Morris,2,2,1,2,21,NULL,7250,4616,22.66467513,Public
08362-1500,Vineland,NJ,Cumberland County College,2,2,1,2,41,NULL,3760,2319,24.29332169,Public
8081,ERIAL,NJ,Divers Academy International,1,1,3,2,21,NULL,211,23080,25.77777778,Private
7201,Elizabeth,NJ,Drake College of Business-Elizabeth,1,1,3,2,21,NULL,849,22693,31.14556417,Private
7940,Madison,NJ,Drew University,3,4,2,2,21,0.7017,1356,17541,19.79602888,Private
7060,Plainfield,NJ,duCret School of Arts,1,1,2,2,21,0.8889,41,15545,21.625,Private
7306,Jersey City,NJ,Eastern International College-Jersey City,2,2,3,2,12,NULL,217,7651,26.93137255,Private
07003-3551,Bloomfield,NJ,Eastern School of Acupuncture and Traditional Medicine,1,1,3,2,21,NULL,58,20579,33.38709677,Private
7601,Hackensack,NJ,Eastwick College-Hackensack,1,2,3,2,21,0.276,375,13074,30.18111455,Private
7110,Nutley,NJ,Eastwick College-Nutley,1,1,3,2,21,0.4614,321,8109,28.3095624,Private
07446-2551,Ramsey,NJ,Eastwick College-Ramsey,2,2,3,2,21,0.3103,865,16120,30.33005465,Private
7102,Newark,NJ,Essex County College,2,2,1,2,11,NULL,10251,4278,25.70079568,Public
7666,Teaneck,NJ,Fairleigh Dickinson University-Metropolitan Campus,3,4,2,2,21,0.8011,3870,18071,22.97958512,Private
7644,Lodi,NJ,Felician University,3,4,2,2,21,0.8416,1629,18931,26.08421053,Private
7470,Wayne,NJ,Fortis Institute-Wayne,1,1,3,2,21,NULL,564,9943,25.60343643,Private
8512,Cranbury,NJ,Gentle Healing School of Massage,1,1,3,2,21,NULL,5,14362,37.76923077,Private
08701-2697,Lakewood,NJ,Georgian Court University,3,4,2,2,13,0.6806,1423,18141,22.17813268,Private
07042-4837,Montclair,NJ,HackensackUMC Mountainside School of Nursing,1,1,3,2,21,NULL,110,15938,28.92134832,Private
8002,Cherry Hill,NJ,Harris School of Business-Cherry Hill Campus,1,1,3,2,21,NULL,389,13548,27.62510923,Private
8043,Voorhees,NJ,Harris School of Business-Voorhees Campus,1,1,3,2,21,NULL,443,12586,29.49447514,Private
7083,Union,NJ,Healthcare Training Institute,1,1,3,2,21,0.9111,76,19875,28.82593857,Private
7513,Paterson,NJ,Hohokus School of Trade and Technical Sciences,1,1,3,2,21,NULL,183,27708,26.69382023,Private
07666-4246,Teaneck,NJ,Holy Name Medical Center School of Nursing,1,1,2,2,21,0,147,10822,30.1294964,Private
7306,Jersey City,NJ,Hudson County Community College,2,2,1,2,12,NULL,8707,1283,24.89513678,Public
7601,Hackensack,NJ,Institute for Therapeutic Massage,1,1,3,2,21,NULL,126,13798,32.875,Private
7608,Teterboro,NJ,Jersey College,1,2,3,2,21,0.7391,2173,14656,34.11360294,Private
7061,Plainfield,NJ,JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,1,1,2,2,21,0.6667,395,24087,29.23202614,Private
7801,Dover,NJ,Joe Kubert School of Cartoon and Graphic Art,1,1,3,2,21,0.9577,99,12845,23.35294118,Private
7083,Union,NJ,Kean University,3,4,1,2,21,0.7036,11938,8533,23.69238809,Public
08820-2896,Edison,NJ,Lincoln Technical Institute-Edison,1,1,3,2,21,NULL,537,12667,26.96365191,Private
7712,Ocean,NJ,Medical Career Institute,1,1,3,2,21,0.6522,60,10039,30,Private
08550-3407,West Windsor,NJ,Mercer County Community College,2,2,1,2,41,NULL,7132,4145,24.38631052,Public
8701,Lakewood,NJ,Mesivta Keser Torah,3,3,2,2,13,1,41,3570,20.23076923,Private
08818-3050,Edison,NJ,Middlesex County College,2,2,1,2,21,NULL,11033,4848,23.20649791,Public
07728-5033,Freehold,NJ,Monmouth County Vocational School District,1,1,1,2,21,NULL,60,6888,28.84693878,Public
07764-1898,West Long Branch,NJ,Monmouth University,3,4,2,2,21,0.7419,4584,20580,20.21859297,Private
07043-1624,Montclair,NJ,Montclair State University,3,4,1,2,21,0.6683,15676,9022,21.19716981,Public
7834,Denville,NJ,Morris County Vocational School District,1,1,1,2,21,0.7941,50,7408,28.64935065,Public
7018,East Orange,NJ,National Career Institute,1,1,3,2,21,NULL,291,7629,29.66204506,Private
08901-1107,New Brunswick,NJ,New Brunswick Theological Seminary,3,4,2,2,13,NULL,NULL,9441,NULL,Private
7305,Jersey City,NJ,New Jersey City University,3,4,1,2,12,0.7659,6163,8077,25.25861543,Public
7102,Newark,NJ,New Jersey Institute of Technology,3,4,1,2,11,0.6339,6748,10459,22.18170158,Public
08754-2001,Toms River,NJ,Ocean County College,2,2,1,2,21,NULL,8086,3426,23.81763527,Public
8753,Toms River,NJ,Ocean County Vocational-Technical School,1,1,1,2,21,NULL,541,6709,26.98284314,Public
8030,Gloucester,NJ,P B Cosmetology Education Center,1,1,3,2,21,NULL,171,12931,23.6826087,Private
7306,Jersey City,NJ,P C Age-Jersey City,1,1,3,2,12,NULL,178,19823,30.72036474,Private
07601-5509,Hackensack,NJ,Parisian Beauty School,1,1,3,2,21,NULL,369,12504,25.34848485,Private
07505-1179,Paterson,NJ,Passaic County Community College,2,2,1,2,21,NULL,8479,1555,24.32402348,Public
08723-3413,Brick,NJ,Paul Mitchell the School-Jersey Shore,NULL,1,3,2,21,NULL,176,6808,24.43873518,Private
8012,Blackwood,NJ,Pennco Tech-Blackwood,1,1,3,2,21,NULL,601,13497,25.93405676,Private
7102,Newark,NJ,Pillar College,3,3,2,2,11,NULL,459,16604,38.1226158,Private
08542-0803,Princeton,NJ,Princeton Theological Seminary,3,4,2,2,21,NULL,NULL,4335,PrivacySuppressed,Private
08544-0070,Princeton,NJ,Princeton University,3,4,2,2,21,0.0744,5258,13255,19.32103321,Private
8817,Edison,NJ,Rabbi Jacob Joseph School,3,3,2,2,21,1,84,8247,18.3,Private
7960,Morristown,NJ,Rabbinical College of America,3,3,2,2,21,0.8537,206,10330,20.94214876,Private
07430-1680,Mahwah,NJ,Ramapo College of New Jersey,3,4,1,2,21,0.5332,5447,9576,21.39392545,Public
8876,Branchburg,NJ,Raritan Valley Community College,2,2,1,2,41,NULL,6579,3594,23.46610509,Public
08648-3099,Lawrenceville,NJ,Rider University,3,4,2,2,21,0.7091,4188,20981,20.63532468,Private
08043-1800,Voorhees,NJ,Rizzieri Aveda School for Beauty and Wellness,1,1,3,2,21,NULL,253,14301,24.76539589,Private
08043-1911,Voorhees,NJ,Rizzieri Institute,NULL,1,3,2,21,NULL,61,10581,29.71590909,Private
7060,North Plainfield,NJ,Robert Fiance Beauty Schools-North Plainfield,1,1,3,2,21,NULL,196,8503,27.51748252,Private
8861,Perth Amboy,NJ,Robert Fiance Beauty Schools-Perth Amboy,1,1,3,2,21,NULL,233,6320,25.70384615,Private
07093-4623,West New York,NJ,Robert Fiance Beauty Schools-West New York,1,1,3,2,21,NULL,255,8198,28.94428153,Private
7506,Hawthorne,NJ,Roman Academy of Beauty Culture,1,1,3,2,21,NULL,46,8984,25.2,Private
08068-1599,Pemberton,NJ,Rowan College at Burlington County,2,2,1,2,41,NULL,8668,2522,25.28007608,Public
8080,Sewell,NJ,Rowan College at Gloucester County,2,2,1,2,21,NULL,6310,3372,23.22765957,Public
8028,Glassboro,NJ,Rowan University,3,4,1,2,21,0.4357,11690,11552,21.31882942,Public
08901-1281,New Brunswick,NJ,Rutgers University-New Brunswick,3,4,1,2,13,0.605,34094,13386,22.12414101,Public
08629-1986,Trenton,NJ,Saint Francis Medical Center School of Nursing,1,1,2,2,13,NULL,52,4683,PrivacySuppressed,Private
07306-5997,Jersey City,NJ,Saint Peter's University,3,4,2,2,12,0.569,2409,16376,21.87327824,Private
08069-2799,Carneys Point,NJ,Salem Community College,2,2,1,2,41,NULL,1064,4529,24.42218543,Public
07079-2697,South Orange,NJ,Seton Hall University,3,4,2,2,21,0.7554,5609,22657,21.0376,Private
7306,Jersey City,NJ,Starting Points Inc,1,1,2,2,12,NULL,47,12759,32.33913044,Private
08854-3756,Piscataway,NJ,StenoTech Career Institute-Piscataway,1,1,3,2,21,NULL,55,10018,29.05555556,Private
07030-5991,Hoboken,NJ,Stevens Institute of Technology,3,4,2,2,21,0.4378,2842,27192,19.54554865,Private
08205-9441,Galloway,NJ,Stockton University,3,4,1,2,22,0.6475,7676,6882,21.80283649,Public
7860,Newton,NJ,Sussex County Community College,2,2,1,2,31,NULL,2688,5848,23.25223881,Public
7710,Adelphia,NJ,Talmudical Academy-New Jersey,3,3,2,2,21,1,69,7931,19.54,Private
07608-1083,Teterboro,NJ,Teterboro School of Aeronautics,1,1,3,2,21,NULL,160,8654,23.67759563,Private
08628-7718,Ewing,NJ,The College of New Jersey,3,4,1,2,21,0.4897,6407,11918,19.80832939,Public
8628,Ewing,NJ,The Lab-Paul Mitchell Partner School,1,1,3,2,21,NULL,108,13169,24.22297297,Private
7080,South Plainfield,NJ,The Salon Professional Academy-South Plainfield,NULL,1,3,2,21,NULL,118,10859,26.76623377,Private
8608,Trenton,NJ,Thomas Edison State University,3,4,1,2,13,NULL,20143,9801,33.23085554,Public
7087,Union City,NJ,Total Image Beauty Academy,1,1,3,2,21,NULL,134,4156,32.05617978,Private
07016-1599,Cranford,NJ,Union County College,2,2,1,2,21,NULL,11234,3142,25.88603242,Public
7076,Scotch Plains,NJ,Union County Vocational Technical School,1,1,1,2,21,NULL,106,4396,27.08333333,Public
08861-4106,Perth Amboy,NJ,Universal Training Institute,1,1,3,2,21,NULL,164,9270,32.0660793,Private
07882-4343,Washington,NJ,Warren County Community College,2,2,1,2,41,NULL,1699,4013,23.97971015,Public
7470,Wayne,NJ,William Paterson University of New Jersey,3,4,1,2,21,0.7458,9508,10018,22.36458333,Public
07036-3905,Linden,NJ,Yeshiva Gedolah Zichron Leyma,3,3,2,2,21,1,28,2008,PrivacySuppressed,Private
8701,Lakewood,NJ,Yeshiva Toras Chaim,3,3,2,2,21,1,215,14523,18.48913044,Private
08701-4946,Lakewood,NJ,Yeshiva Yesodei Hatorah,3,3,2,2,21,1,69,10099,18.04166667,Private
7208,Elizabeth,NJ,Yeshivas Be'er Yitzchok,3,3,2,2,21,1,49,4940,21.53846154,Private
87104-1160,Albuquerque,NM,Aveda Institute-New Mexico,1,1,3,6,11,NULL,135,6283,26.03589744,Private
87106,Albuquerque,NM,Central New Mexico Community College,1,2,1,6,11,NULL,22767,651,26.18803012,Public
88101-8381,Clovis,NM,Clovis Community College,1,2,1,6,33,NULL,2028,1293,25.10672359,Public
87112-4413,Albuquerque,NM,De Wolff College Hair Styling and Cosmetology,1,1,3,6,11,NULL,80,5522,28.5308642,Private
88130,Portales,NM,Eastern New Mexico University-Main Campus,3,4,1,6,33,0.6306,3731,3385,24.53190038,Public
87508-1300,Santa Fe,NM,Institute of American Indian and Alaska Native Culture,3,3,1,6,41,1,235,4050,28.09375,Public
87701,Las Vegas,NM,Luna Community College,2,2,1,6,41,NULL,754,486,24.09195402,Public
88005,Las Cruces,NM,Massage Therapy Trainining Institute,1,1,3,6,13,NULL,60,9934,30.67676768,Private
88401-3352,Tucumcari,NM,Mesalands Community College,1,2,1,6,33,NULL,744,594,27.17105263,Public
87313-0849,Crownpoint,NM,Navajo Technical University,1,3,1,6,43,NULL,2031,783,27.33518666,Public
87701,Las Vegas,NM,New Mexico Highlands University,3,4,1,6,33,NULL,2140,4028,27.05718702,Public
87801,Socorro,NM,New Mexico Institute of Mining and Technology,3,4,1,6,33,0.3639,1525,5233,22.35185185,Public
88240,Hobbs,NM,New Mexico Junior College,2,2,1,6,33,NULL,1885,2004,23.38932147,Public
88201-5173,Roswell,NM,New Mexico Military Institute,2,2,1,6,33,0.3989,459,8013,19.71186441,Public
88003-8001,Las Cruces,NM,New Mexico State University-Main Campus,3,4,1,6,22,0.696,12171,4051,23.797733,Public
87532,Espanola,NM,Northern New Mexico College,2,4,1,6,32,NULL,925,1363,24.82956879,Public
88310-5051,Alamogordo,NM,Olympian Academy of Cosmetology,1,1,3,6,33,NULL,986,10989,26.78959538,Private
87114,Albuquerque,NM,Pima Medical Institute-Albuquerque West,1,1,3,6,11,NULL,132,4336,27.67578125,Private
87402-4699,Farmington,NM,San Juan College,2,2,1,6,13,NULL,5925,1218,26.63170241,Public
87508-4887,Santa Fe,NM,Santa Fe Community College,2,2,1,6,41,NULL,3729,1181,28.58635526,Public
87505-7634,Santa Fe,NM,Santa Fe University of Art and Design,3,3,3,6,13,1,839,10279,22.07394366,Private
87505,Santa Fe,NM,Southwest Acupuncture College-Santa Fe,3,4,3,6,13,NULL,NULL,8105,PrivacySuppressed,Private
87507,Santa Fe,NM,Southwestern College,3,4,2,6,41,NULL,NULL,16730,NULL,Private
87120-3101,Albuquerque,NM,Southwestern Indian Polytechnic Institute,2,2,1,6,21,NULL,475,829,24.97979798,Public
87505-4599,Santa Fe,NM,St. John's College,3,4,2,6,41,0.815,340,15946,21.16923077,Private
87110,Albuquerque,NM,Toni & Guy Hairdressing Academy-Albuquerque,1,1,3,6,11,NULL,126,9094,24.78306878,Private
87107-4403,Albuquerque,NM,Universal Therapeutic Massage Institute,1,1,3,6,11,NULL,61,4506,33.51376147,Private
87106,Albuquerque,NM,University of New Mexico-Main Campus,3,4,1,6,11,0.4538,20261,5411,24.37537694,Public
88240,Hobbs,NM,University of the Southwest,3,4,2,6,41,NULL,366,10750,26.6345515,Private
87505-7708,Santa Fe,NM,Vogue College of Cosmetology-Santa Fe,1,1,3,6,13,NULL,72,3089,26.75925926,Private
88061,Silver City,NM,Western New Mexico University,3,4,1,6,33,NULL,2105,3374,25.43969849,Public
89146,Las Vegas,NV,Academy of Hair Design-Las Vegas,1,1,3,8,11,NULL,45,11613,27.38113208,Private
89118-1519,Las Vegas,NV,Advanced Training Institute,1,1,3,8,12,NULL,436,16461,28.79632063,Private
89102,Las Vegas,NV,American Institute of Medical Sonography,1,1,3,8,11,NULL,48,15783,29.57142857,Private
89102,Las Vegas,NV,Brightwood College-Las Vegas,1,2,3,8,11,NULL,944,7772,27.88192612,Private
89434-7905,Sparks,NV,Career College of Northern Nevada,2,2,3,8,12,NULL,581,6566,29.02325581,Private
89119,Las Vegas,NV,Casal Institute of Nevada,1,1,3,8,12,0.9949,178,10821,26.09375,Private
89146-1164,Las Vegas,NV,College of Southern Nevada,2,3,1,8,11,NULL,31149,2530,27.29174996,Public
89074,Henderson,NV,Everest College-Henderson,1,2,3,8,11,NULL,800,11000,27.95378151,Private
89106,Las Vegas,NV,Expertise Cosmetology Institute,1,1,2,8,11,NULL,81,14622,29.38983051,Private
89801,Elko,NV,Great Basin College,2,4,1,8,33,NULL,2095,2671,28.05533597,Public
89130-2580,Las Vegas,NV,Healthcare Preparatory Institute,NULL,1,3,8,11,NULL,28,6311,30.89772727,Private
89119,Las Vegas,NV,Institute of Professional Careers,1,1,3,8,12,NULL,19,13809,25.39534884,Private
89502-1559,Reno,NV,International Academy of Style,1,1,3,8,12,NULL,119,7660,26.57419355,Private
89110,Las Vegas,NV,Marinello Schools of Beauty-Las Vegas,1,1,3,8,11,NULL,367,9448,26.4471086,Private
89502,Reno,NV,Marinello Schools of Beauty-Reno,1,1,3,8,12,NULL,217,9581,26.45631068,Private
89002,Henderson,NV,Nevada State College,3,3,1,8,11,0.5459,3254,3240,28.68618267,Public
89128,Las Vegas,NV,Northwest Career College,1,2,3,8,11,NULL,189,6154,27.91576674,Private
89123-8014,Las Vegas,NV,Paul Mitchell the School-Las Vegas,1,1,3,8,11,NULL,284,8479,23.97575758,Private
89502,Reno,NV,Paul Mitchell the School-Reno,1,1,3,8,12,NULL,180,8608,24.96135266,Private
89014,Henderson,NV,Roseman University of Health Sciences,3,4,2,8,11,NULL,269,40481,29.08536585,Private
89451,Incline Village,NV,Sierra Nevada College,3,4,2,8,32,0.6574,548,14162,22.24710425,Private
89512-3999,Reno,NV,Truckee Meadows Community College,2,2,1,8,12,NULL,8719,2194,27.14308639,Public
89154,Las Vegas,NV,University of Nevada-Las Vegas,3,4,1,8,12,0.8689,23329,6961,22.79474286,Public
89557,Reno,NV,University of Nevada-Reno,3,4,1,8,12,0.8388,16330,7750,22.00549743,Public
89703-7399,Carson City,NV,Western Nevada College,2,3,1,8,13,NULL,3500,1530,28.16871705,Public
10306,Staten Island,NY,Academy of Cosmetology and Esthetics NYC,1,1,3,2,11,NULL,107,11108,23.6,Private
11201-5826,Brooklyn,NY,Access Careers,1,1,3,2,11,NULL,286,3063,30.35338346,Private
11550-0000,Hempstead,NY,Access Careers,NULL,1,3,2,21,NULL,38,14671,31.56060606,Private
11375,Forest Hills,NY,Ace Computer Training Center,1,1,3,2,11,NULL,162,17298,30.46031746,Private
11530-0701,Garden City,NY,Adelphi University,3,4,2,2,21,0.7242,5036,21769,22.36482085,Private
12801-0000,Glens Falls,NY,Adirondack Beauty School,1,1,3,2,13,NULL,34,8777,26.91489362,Private
12804,Queensbury,NY,Adirondack Community College,2,2,1,2,23,NULL,3535,2377,22.70173317,Public
12110-1095,Latham,NY,Aesthetic Science Institute,1,1,3,2,21,NULL,66,10355,29.01052632,Private
12205,Albany,NY,Albany BOCES-Adult Practical Nursing Program,1,1,1,2,21,NULL,141,6416,29.74889868,Public
12208-3492,Albany,NY,Albany College of Pharmacy and Health Sciences,3,4,2,2,13,0.674,1076,24725,20.85340314,Private
12208,Albany,NY,Albany Law School,3,4,2,2,13,NULL,NULL,28282,NULL,Private
12208-3479,Albany,NY,Albany Medical College,3,4,2,2,13,NULL,NULL,43240,NULL,Private
14802-1205,Alfred,NY,Alfred University,3,4,2,2,33,0.6944,1842,8986,19.71588595,Private
11432,Jamaica,NY,Allen School-Jamaica,1,1,3,2,11,NULL,322,17581,33.4998571,Private
11354-6507,Flushing,NY,Alliance Computing Solutions,NULL,1,3,2,11,NULL,36,23608,35.4375,Private
